966036fde60e6d96708815e0d495692ac352acf9:0,"{'Ident/GenericString:upd': 2, 'Program/NotParsedCorrectly:add': 3, 'Program/NotParsedCorrectly:del': 3}"
c727040bdaa28cd7aa9dbc086eee7b236e0fb270:0,"{'If/Unary:del': 1, 'Goto/GenericString:mv': 2, 'If/Goto:del': 1, 'If/FunCall:add': 1, 'Ident/GenericString:mv': 2, 'Program/NotParsedCorrectly:add': 2, 'Program/Declaration:del': 5, 'Program/Declaration:add': 5, 'If/Compound:add': 1, 'Program/NotParsedCorrectly:del': 2}"
5173cb814b36439a9d9537016965e75798b9f130:0,"{'Ident/GenericString:upd': 4, 'If/FunCall:add': 2, 'If/Binary:del': 2, 'Ident/GenericString:mv': 4, 'Program/NotParsedCorrectly:add': 6, 'Program/Declaration:del': 1, 'Program/Declaration:add': 1, 'Program/NotParsedCorrectly:del': 6}"
e87cb470896e9089d2185e1dcbe8d17b0e3361d3:0,"{'Label/ExprStatement:mv': 2, 'Compound/ExprStatement:mv': 2, 'Label/ExprStatement:add': 2, 'Compound/ExprStatement:add': 4}"
933d594313a5928ffc5325d7bbb6e2383d79622e:11,"{'NotParsedCorrectly/GenericString:upd': 2, 'NotParsedCorrectly/GenericString:add': 2}"
933d594313a5928ffc5325d7bbb6e2383d79622e:14,"{'DeclList/GenericString:del': 1, 'DeclList/Storage:del': 1}"
f79b0d9c223ca09cefffc72304a7bcbc401a1c6f:0,{'Include/GenericString:upd': 2}
933d594313a5928ffc5325d7bbb6e2383d79622e:17,"{'Compound/ExprStatement:mv': 1, 'If/Compound:del': 1, 'If/ExprStatement:mv': 1}"
961354612efa9cecb98250f4f1cfd51221af8098:0,{'Definition/Storage:add': 1}
5159e39bdf119613adc6556901ae2d2e5e027551:0,"{'If/Unary:mv': 1, 'Unary/ParenExpr:mv': 1, 'Unary/ParenExpr:add': 1, 'Binary/Unary:mv': 1, 'If/Binary:del': 1, 'Binary/ParenExpr:mv': 1}"
2b5f2e44a0687987d04eaa2fc9b1da7857a15c79:0,"{'Ident/GenericString:mv': 10, 'ReturnExpr/Constant:add': 8, 'ReturnExpr/ParenExpr:del': 13, 'ReturnExpr/Ident:add': 5}"
6633327d59067fe16128d66968cd50a10ca7a09c:0,"{'If/ExprStatement:mv': 1, 'Compound/ExprStatement:mv': 1, 'If/Compound:add': 1}"
dcb784050a518c59f695f76a0a3f802c0a9d92ab:0,"{'If/ExprStatement:mv': 1, 'Compound/ExprStatement:mv': 1, 'Compound/If:del': 1}"
e703f23747e25db6ccc1f752f787925f86c27f31:3,{'NotParsedCorrectly/GenericString:del': 1}
52d178516dcf61e7a59363a572458c830af6e520:0,"{'Compound/ExprStatement:mv': 4, 'If/Compound:del': 1, 'If/ExprStatement:mv': 2, 'If/Compound:add': 1}"
4408f5319b6c8784120e0784df315b87e8a5dfef:0,"{'Left/Constant:upd': 6, 'If/Compound:del': 2, 'If/ExprStatement:mv': 2, 'Compound/ExprStatement:mv': 2}"
19eeb2f9e750f47c805f66e3b0e889b12557d80f:0,"{'Compound/While:add': 1, 'Compound/ReturnExpr:add': 2, 'Compound/ExprStatement:del': 1, 'Binary/Constant:add': 1, 'Ident/GenericString:upd': 6, 'While/ExprStatement:mv': 1, 'Compound/Break:del': 1, 'Compound/For:del': 1, 'Compound/ExprStatement:mv': 1, 'Ident/GenericString:mv': 4, 'Program/NotParsedCorrectly:add': 4, 'Program/Declaration:del': 9, 'Program/Declaration:add': 9, 'Compound/DeclList:del': 1, 'Binary/Ident:del': 1, 'Program/NotParsedCorrectly:del': 4}"
0cbe8c87fe02513e6de981c18502d220ed4afe41:0,"{'ReturnExpr/Constant:del': 2, 'ReturnExpr/Unary:add': 2}"
d788d8056fd913defa48bd94f18dc53de98cd7a6:0,"{'Compound/DeclList:del': 1, 'Compound/ExprStatement:add': 1, 'Assignment/FunCall:mv': 1, 'InitExpr/FunCall:mv': 1}"
bb59a4c539140592723e806e852ee171da0eb3eb:1,"{'Compound/ExprStatement:mv': 1, 'If/Compound:del': 1, 'If/ExprStatement:mv': 1}"
8afd983ce4a3e2efe513a131ef5ee4516ec2eb28:0,"{'ParenExpr/Assignment:mv': 4, 'Compound/ExprStatement:add': 4, 'If/ParenExpr:del': 4, 'Some/Assignment:mv': 4, 'If/Ident:add': 4}"
657d4c86d4cd85a4696445f6fb2fe0941a5724ff:1,"{'Compound/ReturnExpr:add': 3, 'Assignment/FunCall:mv': 1, 'Compound/If:add': 1, 'Compound/DeclList:add': 1, 'Some/Assignment:add': 1, 'Compound/Return:del': 2, 'Compound/ReturnExpr:del': 1, 'Some/FunCall:mv': 1}"
4d6b7a779be34e1df296abc1dc555134a8cf34af:3,"{'Program/Definition:del': 2, 'Program/EmptyDef:add': 1, 'Program/NotParsedCorrectly:add': 3, 'Program/Declaration:del': 1}"
aa6432f122434a79253b07c87f292eff982bd71e:0,"{'ParameterType/GenericString:upd': 2, 'Ident/GenericString:upd': 4}"
e459933967aef650c25b3cbe1ff88c8047cac543:0,"{'GenericList/Left:mv': 8, 'FunCall/GenericList:mv': 4, 'FunCall/GenericList:del': 2}"
4d6b7a779be34e1df296abc1dc555134a8cf34af:0,"{'Definition/Storage:add': 4, 'Definition/GenericString:upd': 4, 'Program/Definition:mv': 2}"
a3f3e9211947101b00d3c6d6c0864905a1bde0a9:2,{'DeclList/GenericString:upd': 2}
a3f3e9211947101b00d3c6d6c0864905a1bde0a9:1,{'Definition/GenericString:upd': 2}
a3f3e9211947101b00d3c6d6c0864905a1bde0a9:0,{'Ident/GenericString:upd': 2}
23e5abd5555b86fd56af6383e7a832b0cf2a2d95:4,{'DeclList/Storage:add': 2}
bc26d4d06e337ade069f33d3f4377593b24e6e36:0,"{'Compound/ExprStatement:mv': 3, 'Case/ExprStatement:mv': 1, 'Case/If:del': 1, 'Program/NotParsedCorrectly:add': 1, 'Program/NotParsedCorrectly:del': 1}"
23e5abd5555b86fd56af6383e7a832b0cf2a2d95:0,{'Definition/Storage:add': 1}
23e5abd5555b86fd56af6383e7a832b0cf2a2d95:1,{'DeclList/Storage:add': 50}
23e5abd5555b86fd56af6383e7a832b0cf2a2d95:2,{'DeclList/Storage:add': 3}
23e5abd5555b86fd56af6383e7a832b0cf2a2d95:3,{'DeclList/Storage:add': 1}
a307d1d6d4cf66723a395785fd4c5998fe922b61:0,{'Ident/GenericString:upd': 2}
4eb3991c5def39bcf553c14ebe2618fcb47b627f:0,"{'Binary/Binary:mv': 2, 'Binary/GenericString:mv': 2}"
eddc633a3abcffbbe2fb1eb460670f0c63b11211:0,"{'Compound/ReturnExpr:del': 1, 'Compound/Goto:add': 1, 'Ident/GenericString:upd': 2}"
c60a32cd129b1c41f98888b03ba2904406bac8f8:0,"{'Compound/ReturnExpr:add': 1, 'Assignment/FunCall:mv': 1, 'Ident/GenericString:upd': 2, 'Some/FunCall:add': 1, 'Compound/Label:add': 1, 'Compound/Goto:add': 1, 'Some/Assignment:del': 1, 'Compound/ReturnExpr:del': 1, 'Compound/ExprStatement:mv': 1, 'Ident/GenericString:mv': 2, 'Left/FunCall:mv': 1, 'Compound/Goto:del': 1, 'Label/ExprStatement:mv': 1}"
df32b3343aa11e0c7f54783594b24321d17d376f:0,"{'Assignment/FunCall:add': 1, 'Definition/Storage:add': 1, 'Assignment/FunCall:mv': 1, 'Left/FunCall:mv': 1}"
048975ac580a771fc5bb96c6b454cba897ab1a73:0,"{'Binary/GenericString:upd': 2, 'If/Compound:add': 1, 'Goto/GenericString:mv': 2, 'If/Goto:del': 1}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:2,"{'Binary/Constant:del': 1, 'Left/Ident:add': 1, 'Left/Constant:del': 1, 'InitExpr/Ident:add': 3, 'InitExpr/Constant:del': 3, 'Binary/Ident:add': 1}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:3,"{'Binary/Constant:del': 3, 'Left/Ident:add': 1, 'Left/Constant:del': 1, 'Binary/Ident:add': 3}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:0,"{'If/Unary:add': 1, 'If/Binary:del': 1, 'Ident/GenericString:mv': 2, 'InitExpr/Ident:add': 4, 'InitExpr/Constant:del': 4}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:1,"{'Binary/Constant:del': 1, 'InitExpr/Ident:add': 3, 'InitExpr/Constant:del': 3, 'Binary/Ident:add': 1}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:6,"{'Assignment/Constant:del': 2, 'Assignment/Ident:add': 2}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:7,"{'Binary/Constant:del': 2, 'Binary/Ident:add': 2}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:4,"{'Binary/RecordPtAccess:mv': 1, 'Assignment/Ident:add': 2, 'If/Unary:add': 1, 'InitExpr/Ident:add': 1, 'If/Binary:del': 1, 'InitExpr/Constant:del': 1, 'Unary/RecordPtAccess:mv': 1, 'Assignment/Constant:del': 2}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:5,"{'ReturnExpr/Constant:del': 2, 'Binary/RecordPtAccess:mv': 1, 'Assignment/Ident:add': 2, 'If/Unary:add': 3, 'InitExpr/Ident:add': 1, 'If/Binary:del': 3, 'Ident/GenericString:mv': 4, 'InitExpr/Constant:del': 1, 'Unary/RecordPtAccess:mv': 1, 'Assignment/Constant:del': 2, 'ReturnExpr/Ident:add': 2}"
61ca1500c5ee04f2be34a4f58bb9baed0214b7a9:8,"{'Binary/RecordPtAccess:mv': 1, 'Assignment/Ident:add': 2, 'If/Unary:add': 1, 'InitExpr/Ident:add': 1, 'If/Binary:del': 1, 'InitExpr/Constant:del': 1, 'Unary/RecordPtAccess:mv': 1, 'Assignment/Constant:del': 2}"
da0abaee4793bac4047b3bdfd221fc54850bbf5f:0,"{'Compound/ExprStatement:add': 1, 'DeclList/InitExpr:add': 1}"
41ebb8a1c5f1f567b9c30c9b50aace91387537f8:0,"{'Binary/Constant:del': 5, 'ReturnExpr/Constant:del': 3, 'Assignment/GenericString:add': 1, 'Left/Ident:add': 11, 'Left/Constant:del': 11, 'Ident/GenericString:upd': 2, 'Assignment/Ident:add': 12, 'Assignment/RecordAccess:mv': 2, 'InitExpr/Ident:add': 6, 'Ident/GenericString:add': 1, 'Binary/RecordAccess:mv': 2, 'InitExpr/Constant:del': 6, 'Assignment/GenericString:del': 1, 'Assignment/Constant:del': 12, 'Ident/GenericString:mv': 2, 'ReturnExpr/Ident:add': 3, 'DeclList/InitExpr:del': 2, 'Binary/Ident:add': 5}"
705a421238964e26f13a87d01cefa229eb8a458d:0,{'Definition/Storage:del': 1}
3b5ecbab99c9ed10b30c18f984ef144167b2c3fc:0,"{'Compound/ExprStatement:mv': 3, 'If/Compound:del': 3, 'If/ExprStatement:mv': 3}"
5eeb3014827f44ea7de43c865118cb2095ad030e:0,"{'ReturnExpr/Unary:mv': 1, 'Ident/GenericString:upd': 2, 'Some/Assignment:add': 1, 'Assignment/Unary:mv': 1, 'Compound/ReturnExpr:del': 1, 'Compound/ExprStatement:mv': 2, 'Ident/GenericString:mv': 2, 'Compound/Goto:add': 1, 'Some/FunCall:del': 1}"
deb3d7fff0b7c21c5a80b2fdfb93d7fb1abcf21f:0,{'Compound/If:del': 1}
55ae2f3b88421256e0a785320f7067bc58c1b0cd:1,{'Definition/Storage:add': 1}
55ae2f3b88421256e0a785320f7067bc58c1b0cd:0,{'DeclList/Storage:add': 1}
38f736e974e394157c9111cc53a6f3a55ea8cbc8:0,"{'If/Unary:add': 9, 'If/Binary:del': 10, 'Ident/GenericString:mv': 20, 'If/Ident:add': 1}"
9ef7db7f38d0472dd9c444e42d5c5175ccbe5451:1,"{'Label/ExprStatement:mv': 1, 'Goto/GenericString:upd': 2, 'If/Goto:del': 1, 'Compound/Label:del': 1, 'Compound/ExprStatement:mv': 7, 'If/ReturnExpr:add': 1, 'Compound/ExprStatement:del': 1}"
9ef7db7f38d0472dd9c444e42d5c5175ccbe5451:0,"{'Compound/ExprStatement:mv': 1, 'If/Compound:del': 1, 'If/ExprStatement:mv': 1}"
a9aefd707c65aa5a7945b3f16bd39f314aa8414d:0,"{'If/Ident:del': 2, 'Compound/ExprStatement:add': 2, 'Compound/ExprStatement:del': 2, 'If/FunCall:mv': 2, 'Assignment/FunCall:mv': 2}"
9494849e53e74048ee14d512feade01db402eef7:0,"{'Compound/ExprStatement:mv': 1, 'Compound/If:add': 1, 'Compound/ExprStatement:add': 1, 'If/ExprStatement:mv': 1, 'Ident/GenericString:upd': 4}"
2a953cfd42c00bab00e792422f7c2064c5f0b410:1,"{'Unary/ArrayAccess:mv': 6, 'GenericList/Left:mv': 24, 'Compound/ExprStatement:del': 1, 'Unary/ParenExpr:mv': 1, 'Ident/GenericString:upd': 26, 'Definition/Storage:add': 12, 'Binary/ParenExpr:mv': 1, 'Left/Cast:del': 19, 'Compound/ExprStatement:mv': 1, 'Left/Ident:del': 1, 'If/ExprStatement:mv': 1, 'Binary/ArrayAccess:mv': 6, 'Ident/GenericString:mv': 30, 'Program/Declaration:del': 8, 'Left/Constant:upd': 2, 'GenericList/Left:del': 3, 'GenericList/Left:add': 1, 'Program/Definition:del': 1, 'Left/Cast:add': 1, 'Left/Binary:add': 19, 'If/ExprStatement:add': 1}"
2a953cfd42c00bab00e792422f7c2064c5f0b410:0,{'Definition/Storage:add': 1}
