,commit,operationsSum,hunks,fileN,type
4887,4b6d846e9a20ac8c9dd641d0ea875c28f331e241,1.0,1.0,1.0,3.0
4890,2aa9ff7fc5bc41d4b77c2da02086259a86f3d472,1.0,1.0,1.0,3.0
4893,e568af1c626031925465a5caaab7cca1303d55c7,2.0,1.0,1.0,3.0
4900,e1718d97aa88ea44a6a8f50ff464253dd0dacf01,1.0,1.0,1.0,3.0
4902,09b6e85fc868568e1b2820235a2a851aecbccfcc,35.0,1.0,1.0,3.0
4903,5efd407674068dede403551bea3b0b134c32513a,16.0,1.0,1.0,3.0
4904,07d1d29ee1e194b932328ad2dc1d40297062ab7f,22.0,1.0,1.0,3.0
4905,cf10700bf8047f0668dd874b607f89516612e6c7,2.0,1.0,1.0,3.0
4907,2f84a8990ebbe235c59716896e017c6b2ca1200f,1.0,1.0,1.0,3.0
4910,b77f69978cc954fb3f0944d26a217a78b964b85f,1.0,1.0,1.0,3.0
4913,bce7d5e0e1fc0c1f1251b7f21a19cb48207408b6,1.0,1.0,1.0,3.0
4920,dc8b4afc4a04fac8ee55a19b59f2356a25e7e778,3.0,1.0,1.0,3.0
4921,de391d12500ede13faa7ecadbe900a8de1f76cfa,2.0,1.0,1.0,3.0
4922,c3ae62ae08bb0db3639d8c579e4ff0967d908199,1.0,1.0,1.0,3.0
4932,8dc8a27c9733a41cda84e8c70da8313e1d54c4ae,1.0,1.0,1.0,3.0
4933,a2149bce2535047371a1309f032f0320b05db791,2.0,1.0,1.0,3.0
4937,e4c064728ca358622918fa69ab2bb05f5a2090a8,3.0,1.0,1.0,3.0
4940,7c20078a8197389eead62399419fdc4f8ac4a8a3,19.0,1.0,1.0,3.0
4943,b14dabcdb651ddd9f85c69c9042322c139e7da84,4.0,1.0,1.0,3.0
4944,bbdb34c90aeb8b2253eae88029788ebe1d7f2fd4,2.0,1.0,1.0,3.0
4945,d69cf28cd2f85c3086fac5ea39aa1d5ba65546b1,14.0,1.0,1.0,3.0
4948,a866bbf6aacf95f849810079442a20be118ce905,6.0,1.0,1.0,3.0
4951,09f1fb41ad45bc18abe07c62f7b56560571584d1,1.0,1.0,1.0,3.0
4952,49eb5208220a9eef7529decbdefd95e4b94a928b,3.0,1.0,1.0,3.0
4956,2c623c11c7d87ada0121c5502358b30c9a849d2d,1.0,1.0,1.0,3.0
4957,1e815db647ada5f169dc0201b96530e30640d6df,22.0,1.0,1.0,3.0
4962,af1d486c18bad7820b0ca52b413458914231102c,2.0,1.0,1.0,3.0
4969,a56d5318716d120e040294bb258901ba89fb9c90,21.0,1.0,1.0,3.0
4970,db59b464f8708cdba857f16b183cff0b7466d6b5,2.0,1.0,1.0,3.0
4972,f05bb0c7b624252a5e768287e340e8e45df96e42,1.0,1.0,1.0,3.0
4974,2b6c26a0a62cc0bab0ad487533d5581d7c293fef,1.0,1.0,1.0,3.0
4977,1c5fd08520de35c7ac0d70e2ed3c3bb200830447,6.0,1.0,1.0,3.0
4979,013dd9e038723bbd2aa67be51847384b75be8253,16.0,1.0,1.0,3.0
4984,ce2ac52105aa663056dfc17966ebed1bf93e6e64,1.0,1.0,1.0,3.0
4990,a520f2614690b8d3a7b431a1d8a40ea6a04d4827,4.0,1.0,1.0,3.0
4991,3cb7a7986ace516b97bb6bee2a78eba73e616a87,61.0,1.0,1.0,3.0
4993,ba1163de2f74d624e7b0e530c4104c98ede0045a,1.0,1.0,1.0,3.0
4994,4e7697ed79d0c0d5f869c87a6b3ce3d5cd1a07d6,6.0,1.0,1.0,3.0
4995,92258a3ed2f583c8720ef570f5c62b28e6c58d71,2.0,1.0,1.0,3.0
5002,66528f90669691c85c73bea4f0c9f4a5857c4cab,15.0,1.0,1.0,3.0
5007,eef0342cf32689f77d78ee3302999e5caaa6a8f3,3.0,1.0,1.0,3.0
5011,4ac55982907e1d48e64feaa56be91b9b52d3714d,2.0,1.0,1.0,3.0
5017,97c802a113989800430a981b6f36b14c62163d37,5.0,1.0,1.0,3.0
5018,ebdb51eb7806df56221d4536a6a9702751d6df85,3.0,1.0,1.0,3.0
5019,dd0d0d4de582a6a61c032332c91f4f4cb2bab569,16.0,1.0,1.0,3.0
5020,b97b196c9d351a501ed89fc836e4e2fe71ff93c9,2.0,1.0,1.0,3.0
5024,139f807a1eba1e484941a98fb93ee32ad859a6a1,3.0,1.0,1.0,3.0
5025,72edd83cc9e5819ed1ee771519143d7594e059f0,6.0,1.0,1.0,3.0
5027,df1868e4ee605444bbb98505126bdfb3519749af,1.0,1.0,1.0,3.0
5028,196e077dc165a307efbd9e7569f81bbdbcf18f65,3.0,1.0,1.0,3.0
5030,ce8e0fd239e411e08a0cd83868898cd3f573d7cf,1.0,1.0,1.0,3.0
5035,6c9bacb41c10ba84ff68f238e234d96f35fb64f7,1.0,1.0,1.0,3.0
5036,0cd9c6494ee5c19aef085152bc37f3a4e774a9e1,28.0,1.0,1.0,3.0
5038,d4faadd5d5b368a7051fef374ee933ec3606713b,1.0,1.0,1.0,3.0
5039,c7fb0b35ada6e0e691e70af5591a2006fbec85b5,1.0,1.0,1.0,3.0
5040,f46119b73425df9d1e05c5d5e909a993d95b0218,1.0,1.0,1.0,3.0
5046,7a434814c7a6500b08bf4419ba8712b152d08d08,21.0,1.0,1.0,3.0
5048,e3f47f89a57ef115755184a8b3f03a47ee227418,2.0,1.0,1.0,3.0
5051,498e720b96379d8ee9c294950a01534a73defcf3,1.0,1.0,1.0,3.0
5062,86ac2735ae09ab012da358d4dff73f3bcad50583,3.0,1.0,1.0,3.0
5066,59d399d357a7705568f424c6e861ee8657f7f655,6.0,1.0,1.0,3.0
5068,4f7dfb6788dd022446847fbbfbe45e13bedb5be2,8.0,1.0,1.0,3.0
5069,bb9fc37358ffa9de1cc2b2b6f1a559b926ef50d9,3.0,1.0,1.0,3.0
5072,4a5610a04d415ed94af75bb1159d2621d62c8328,14.0,1.0,1.0,3.0
5075,bfbdb420f51457935784759ae5ef36b2257666a1,2.0,1.0,1.0,3.0
5082,9269e23496ddd83b974536019cf420520df0ee7f,1.0,1.0,1.0,3.0
5084,6cbd7ee10e2842a3d1f9b60abede1c8f3d1f1130,2.0,1.0,1.0,3.0
5088,b3bd4fc3822a6b5883eaa556822487d87752d443,1.0,1.0,1.0,3.0
5090,94862a62dfe3ba1c7601115a2dc80721c5b256f0,5.0,1.0,1.0,3.0
5092,d9e4ce65b27694b0b70ff4d1cbbb740195fd916b,29.0,1.0,1.0,3.0
5096,f443ddf1057776ed99d5006bbbefb018fcf7ce3a,14.0,1.0,1.0,3.0
5097,4a8dece21eea0ad6aca442272673d48693cd93b4,2.0,1.0,1.0,3.0
5098,b9ec63f78b425c0e16cc95605b5d4ff2dc228b97,1.0,1.0,1.0,3.0
5104,40f33a92100f4d9b6e85ad642100cfe42d7ff57d,4.0,1.0,1.0,3.0
5106,70cf2cbd685e218c3ffd105d9fb6cf0f8d767481,51.0,1.0,1.0,3.0
5109,ee436dc46a762f430e37952d375a23d87735f73f,16.0,1.0,1.0,3.0
5112,8d894c47975f7222c5537e450e71310b395488c7,2.0,1.0,1.0,3.0
5118,7799652557d966e49512479f4d3b9079bbc01fff,2.0,1.0,1.0,3.0
5120,24b1442d01ae155ea716dfb94ed21605541c317d,3.0,1.0,1.0,3.0
5127,ad6759fbf35d104dbf573cd6f4c6784ad6823f7e,7.0,1.0,1.0,3.0
5132,bd637f6f22235b4613f9ab6555e8088a455c1ed4,3.0,1.0,1.0,3.0
5133,d63e2e1f3df904bf6bd150bdafb42ddbb3257ea8,4.0,1.0,1.0,3.0
5136,e21eba05afd288a227320f797864ddd859397eed,1.0,1.0,1.0,3.0
5139,731b25a4ad3c27b44f3447382da18b59167eb7a1,49.0,1.0,1.0,3.0
5142,a10f0df0615abb194968fc08147f3cdd70fd5aa5,3.0,1.0,1.0,3.0
5146,5a7a570bf4205d2cc36c5abb5498df601dd828e3,2.0,1.0,1.0,3.0
5149,28cd7752734563d5b0967b96a6bade7a1dc89c7f,1.0,1.0,1.0,3.0
5151,4f3c125c7420c85eaff627145557e392a871922d,8.0,1.0,1.0,3.0
5154,acfa1823d33859b0db77701726c9ca5ccc6e6f25,3.0,1.0,1.0,3.0
5157,0dcfeb7e3c8695c5aa3677dda8efb9bef2e7e64d,8.0,1.0,1.0,3.0
5161,fab3b58d3b242b5903f78d60d86803a8aecdf6de,51.0,1.0,1.0,3.0
5162,9bb09fa1b5b07459279301ac6220d575f307597b,1.0,1.0,1.0,3.0
5163,389345cf6d71914b39130b1ea04dab1b7bacf6bd,8.0,1.0,1.0,3.0
5165,9aa5b0181bdf335f0b731d8502e128a862884bcd,41.0,1.0,1.0,3.0
5166,1f1a91e033f4ec60a70669e2e3e358d7e4f32495,3.0,1.0,1.0,3.0
5167,812ed4924328adf94f45c664b6a4c710a69167e2,11.0,1.0,1.0,3.0
5170,dfe21582ac5ebc460dda98c67e8589dd506d02cd,4.0,1.0,1.0,3.0
5171,d30d71e85a4fc932ede2efd8e54de5ed321aa448,1.0,1.0,1.0,3.0
5176,f7eb97300832f4fe5fe916c5d84cd2e25169330e,5.0,1.0,1.0,3.0
5177,7ccb4a53eb03c9196646ca0c2a97558313e886f1,8.0,1.0,1.0,3.0
5183,f4adcd247766e5b914f861ed143ff328f869bf80,3.0,1.0,1.0,3.0
5184,28af24bb8470c7d0573b703a2955548b73a6c066,1.0,1.0,1.0,3.0
5196,6fc16e58adf50c0f1e4478538983fb5ff6f453d4,1.0,1.0,1.0,3.0
5197,453d3131ec7aab82eaaa8401a50522a337092aa8,15.0,1.0,1.0,3.0
5199,e58679805dab3fb75df88141d9d869904a93337f,3.0,1.0,1.0,3.0
5208,fdf892be32d84a1745fa0aee5fc60517421b8038,1.0,1.0,1.0,3.0
5209,c745fe611ca42295c9d91d8e305d27983e9132ef,1.0,1.0,1.0,3.0
5212,2336a986793c771008b181ec65334c240ce512ca,11.0,1.0,1.0,3.0
5223,5c17ddc4a047c59638c7eb8537aa887a1ddb9b0b,14.0,1.0,1.0,3.0
5226,e399037e06beec6d190a302ff5e4fee4aae77c50,10.0,1.0,1.0,3.0
5230,07b8dae38b09bcfede7e726f172e39b5ce8390d9,9.0,1.0,1.0,3.0
5246,bdf57de4e6abc389cc3f3bd94ec15cce74cf6f4b,6.0,1.0,1.0,3.0
5248,e77166b5a653728f312d07e60a80819d1c54fca4,1.0,1.0,1.0,3.0
5249,ae5b80d2b68eac945b124227dea34462118a6f01,7.0,1.0,1.0,3.0
5257,9ff84a17302aeb8913ff244ecc0d8f9d219fecb5,14.0,1.0,1.0,3.0
5258,a3d0b1218d351c6e6f3cea36abe22236a08cb246,1.0,1.0,1.0,3.0
5264,908d4d141f9608d1966ea8b483ee1c1aad04e438,3.0,1.0,1.0,3.0
5266,8b572a4200828b4e75cc22ed2f494b58d5372d65,2.0,1.0,1.0,3.0
5270,2b02ec79004388a8c65e227bc289ed891b5ac8c6,1.0,1.0,1.0,3.0
5272,a14917eeb2cc160d13f4fddefe5f7f9c80953ce1,1.0,1.0,1.0,3.0
5278,dafb70ce1026d4d6ef1b16ad6996c9589bb11cce,1.0,1.0,1.0,3.0
5281,a2d213dd77da4710bcb75f8efe85a32e3db8b39b,4.0,1.0,1.0,3.0
5283,c675949ec58ca50d5a3ae3c757892f1560f6e896,4.0,1.0,1.0,3.0
5288,0fa372b6c95013af1334b3d5c9b5f03a70ecedab,1.0,1.0,1.0,3.0
5289,70335abb2689c8cd5df91bf2d95a65649addf50b,1.0,1.0,1.0,3.0
5295,8d1f66dc9b4f80a1441bc1c33efa98aca99e8813,2.0,1.0,1.0,3.0
5297,a30e577c96f59b1e1678ea5462432b09bf7d5cbc,35.0,1.0,1.0,3.0
5299,31a379e1067834868b8f1ce3e409392c42dc0f2b,1.0,1.0,1.0,3.0
5302,1e9291996c4eedf79883f47ec635235e39d3d6cd,3.0,1.0,1.0,3.0
5304,d951d4cc84e8b5ddb8e0ab81cf6a72cc73fdd668,4.0,1.0,1.0,3.0
5307,5636d2f842c7bd7800002868ead3d6b809d385a0,1.0,1.0,1.0,3.0
5308,6699c8cda36f296e315068ed9bbe4f03e6ed4044,2.0,1.0,1.0,3.0
5310,98ca50db1bb91822fc190d3ebec0f80c556c8cfb,1.0,1.0,1.0,3.0
5312,677c0a78f6bf7aa87c90c4e015e014a17132c634,2.0,1.0,1.0,3.0
5314,034fb4c95fc0fed4ec4a50778127b92c6f2aec01,13.0,1.0,1.0,3.0
5316,ed1f0eeebaeeb7f790e9e7642116a208581e5bfc,1.0,1.0,1.0,3.0
5317,237a927682a63f02adb542dbdaafe8a81566451d,1.0,1.0,1.0,3.0
5318,a4b188095912eee83d065f000dfe06f25919750b,2.0,1.0,1.0,3.0
