Definition/Storage:del,1
For/Compound:mv,46
Left/Cast:mv,93
Definition/Compound:add,2
Left/RecordAccess:mv,126
Compound/Default:mv,4
Compound/If:del,1262
ReturnExpr/Ident:del,177
Assignment/GenericString:add,116
Assignment/ArrayAccess:mv,113
ReturnExpr/Constant:add,74
ParenExpr/RecordPtAccess:mv,146
Define/DefineFunc:add,2
Assignment/Unary:mv,333
RecordPtAccess/RecordAccess:mv,94
If/ExprStatement:del,335
If/RecordAccess:del,1
If/ReturnExpr:del,69
Left/Constant:add,113
If/ReturnExpr:add,87
Left/CondExpr:del,1
While/Compound:mv,35
Label/ExprStatement:del,15
Compound/For:del,21
ParenExpr/Cast:mv,1
ParameterType/GenericString:upd,144
ParenExpr/Binary:mv,318
Program/IfdefTop:add,6
InitList/InitList:add,3
Declaration/MacroDeclInit:del,240
Assignment/Ident:mv,140
TypeQualifier/GenericString:add,5
ParenExpr/ArrayAccess:add,2
For/Compound:add,13
Compound/While:add,3
ReturnExpr/CondExpr:del,5
NotParsedCorrectly/GenericString:add,13
Assignment/GenericString:del,116
ReturnExpr/FunCall:del,60
Some/GenericString:mv,204
Unary/RecordAccess:del,29
Binary/Cast:add,6
CondExpr/Constant:mv,4
ReturnExpr/Unary:add,26
Assignment/SizeOfExpr:del,1
Compound/ExprStatement:del,2235
Compound/Default:add,5
InitExpr/RecordAccess:add,19
Label/ExprStatement:mv,235
Compound/MacroIteration:del,1
RecordPtAccess/RecordAccess:del,1
Program/NotParsedCorrectly:add,1449
Left/Constant:upd,524
InitExpr/Constant:mv,604
Left/Assignment:mv,493
ParenExpr/Sequence:mv,2
CondExpr/FunCall:mv,9
FunCall/GenericList:del,16
DeclList/Storage:del,73
Assignment/RecordPtAccess:mv,290
Assignment/RecordPtAccess:del,43
Compound/MacroIteration:add,39
Switch/RecordPtAccess:mv,5
Compound/Goto:del,35
Default/ReturnExpr:add,4
Compound/Default:del,2
If/Compound:add,1216
ParenExpr/RecordPtAccess:add,1
ParenExpr/RecordPtAccess:del,1
DoWhile/Compound:add,1
DeclList/GenericString:upd,452
Unary/RecordPtAccess:add,194
InitExpr/Cast:mv,3
ParenExpr/Assignment:mv,299
Compound/Return:del,30
Default/ExprStatement:mv,3
For/If:del,8
DeclList/Storage:add,13
Define/DefineExpr:add,8
ParenExpr/Ident:del,34
Binary/ParenExpr:mv,38
ReturnExpr/FunCall:mv,349
ParenExpr/ArrayAccess:mv,14
ReturnExpr/ParenExpr:del,76
Declaration/DeclList:add,240
Compound/MacroStmt:add,1
Compound/Compound:mv,12
Binary/ParenExpr:del,230
Unary/ArrayAccess:del,8
Binary/ParenExpr:add,7
Assignment/Constant:mv,46
InitList/InitExpr:del,331
Left/Unary:del,264
ParenExpr/RecordAccess:mv,14
If/IfToken:del,13
RecordPtAccess/RecordPtAccess:mv,139
MacroIteration/Left:del,682
Some/Binary:mv,2
Some/Postfix:mv,2
Cast/ArrayAccess:mv,18
InitExpr/Unary:mv,30
Unary/RecordPtAccess:mv,567
Program/Definition:del,97
RecordPtAccess/ParenExpr:del,15
Left/SizeOfExpr:add,98
Compound/Break:mv,44
DefineExpr/Binary:del,10
DeclList/GenericString:mv,168
ParenExpr/Unary:add,53
Program/CppTop:add,88
If/RecordPtAccess:add,5
ParenExpr/Binary:add,10
DeclList/FullType:add,1104
Unary/GenericString:del,2
Left/Constant:mv,14
CondExpr/RecordAccess:add,1
Left/Ident:add,879
If/RecordAccess:mv,30
CondExpr/ParenExpr:del,1
Sequence/Sequence:mv,1
InitExpr/Binary:mv,14
CondExpr/RecordPtAccess:add,3
Compound/Goto:mv,30
Definition/Storage:add,18
Compound/Return:mv,2
Binary/SizeOfExpr:add,6
Definition/ParamList:del,6
Default/ExprStatement:del,7
Unary/RecordAccess:mv,68
For/ExprStatement:mv,360
Unary/Cast:del,18
ReturnExpr/FunCall:add,44
RecordPtAccess/GenericString:mv,1146
Binary/FunCall:add,170
Compound/ExprStatement:add,1101
Cast/ParenExpr:del,20
InitExpr/FunCall:del,4
Cast/RecordAccess:del,1
ParenExpr/Ident:add,5
