,revertingDate,revertingCommit,revertedCommit,revertedDate,timeLag,type
2143,1383700696,906f187b93d4b15e54066802f2a3100ca4681296,e37f14a5fb85522f3bbf88ece6134c4e610ed598,1382097404,19,HMG
2162,1383183053,2faa046485721c05ad3999bc6c8f6ced7017ef27,7cb7f45c7feef43c8f71f5cfedfc0b19be2142f7,1248734558,1557,HMG
2294,1377097735,3414caf63421762e57b26aa999e5187b42ee1606,b4ae3f22d238617ca11610b29fde16cf8c0bc6e0,1339697088,433,HMG
2342,1374980444,fafb6ebe384e62e68519ae8f5ae9b2cb578d7dde,ebe7fdbaf3e90ea22feade6c9f5e50f42b23b6d8,1374857234,2,HMG
2345,1374781419,8e5c2b776ae4c35f54547c017e0a943429f5748a,8c5bd7adb2ce47e6aa39d17b2375f69b0c0aa255,1374106086,7,HMG
2354,1374253031,25f397a429dfa43f22c278d0119a60a343aa568f,e3de42b68478a8c95dd27520e9adead2af9477a5,1367603047,77,HMG
2366,1373459784,46a0b638f35b45fc13d3dc0deb6a7e17988170b2,25ff1195f8a0b3724541ae7bbe331b4296de9c06,1365107463,97,HMG
2378,1373021609,067556084a0e412013af6b0250a3143ae5afde6d,93927ca52a55c23e0a6a305e7e9082e8411ac9fa,1357837380,176,HMG
2399,1371247993,372835a8527f85b3eff20a18c2c339e827dfd4e4,e3de42b68478a8c95dd27520e9adead2af9477a5,1367603047,42,HMG
2420,1370652907,ea7f665612fcc73da6b7698f468cd5fc03a30d47,9f29ab11ddbfc12db54df5a66dab22b39ad94e8e,1370379778,4,HMG
2489,1361292300,af13188a1a6623fc8b4b6c42178046fb80f8b1d0,2f4f649a69a9eb51f6e98130e19dd90a260a4145,1352723624,99,HMG
2507,1365105842,7a7d1fb79fb581553f4830498045de774a9659f8,bd6946e87a98fea11907b2a47368e13044458a35,1364931034,2,HMG
2559,1363963486,b1289371fcd580b4c412e6d05c4cb8ac8d277239,cf0a6584aa6d382f802f2c3cacac23ccbccde0cd,1360146281,44,HMG
2587,1362775411,dc893e19b5800d7743fb58235877bfa9091805ff,b67bfe0d42cac56c512dd5da4b1b347a23f4b70a,1362013560,8,H
2608,1361490784,202adf4b9f5957b26a1cb97267d78e0edb319c5e,b0ea7d37a8f63eeec5ae80b4a6403cfba01da02f,1355414940,70,HMG
2627,1360751868,db3985e5ca8f50fc17606855ba394783d11683a5,6f33814bd4d9cfe76033a31b1c0c76c960cd8e4b,1344460339,189,HMG
2653,1359380550,8df6b7b11a5e4200484e9356073d288f08bdefb0,5b632fe85ec82e5c43740b52e74c66df50a37db3,1354535793,56,HMG
2686,1355906687,7ed4165e2d01bdbbb4c1086eb73eadf0f64cbbf0,697c373e34613609cb5450f98b91fefb6e910588,1280482082,873,HMG
2740,1353876729,071e3ef4a94a021b16a2912f3885c86f4ff36b49,b26623dab7eeb1e9f5898c7a49458789dd492f20,1353492449,4,HMG
2756,1353060511,bacaf7cd092a2c42a904bce437e64690e04aaa10,0a290ac4252c85205cb924ff7f6da10cfd20fb01,1350948674,25,HMG
2765,1352950335,80d11788fb8f4d9fcfae5ad508c7f1b65e8b28a3,aa731872f7d33dcb8b54dad0cfb82d4e4d195d7e,1351404721,18,H
2788,1351499100,6b3aa3131a7804640e7589e5629036f660362f0b,45259859492812c8b700ae1d157be01a8d2babfe,1350571380,11,H
2806,1350759461,82ed61fa1a4e08d5f9e86fb1b715b50ed678b6ac,bfa3384a9a84aaaa59443bbd776c142e7dba4b0f,1334084284,193,HMG
2844,1348429364,fac44ee564a54db020ad384e0de94b5d8be3c6b5,da35de640a0e9c805aba70439f524234890b96c5,1346766206,19,HMG
2851,1347989624,b5e2368baeddf401bf3da9e364fc1c96676279cd,b56ff9d397cecdaad6c98c9d57cc6fea475e1f50,1289242173,680,HMG
2853,1347917184,2f1f4d9b60396d2df4cff829bd5376ffc8ed9a2c,985f61f7ee647ad570c05eab0b74915da2ac8e19,1346428610,17,HMG
2876,1346565590,8dee3eea3ccd3b6c00a8d3a08dd715d6adf737dd,6af2d180f82151cf3d58952e35a4f96e45bc453a,1343312690,38,HMG
2878,1346239025,015618b902ae8e28705b7af9b4668615fea48ddd,e9ba389c5ffc4dd29dfe17e00e48877302111135,1345026720,14,HMG
2885,1345717056,676ce6d5ca3098339c028d44fe0427d1566a4d2d,91f68c89d8f35fe98ea04159b9a3b42d0149478f,1342100594,42,HMG
2908,1343637628,e1c9ac420ef15e39c2ead879cda1677d1e5cb2b6,9ea3c498962bc63748e92c31c874169ab0726324,1341507526,25,HMG
2986,1339853432,aaa377302b2994fcc2c66741b47da33feb489dca,9e612a008fa7fe493a473454def56aa321479495,1338466133,16,HMG
2994,1338883631,0b9f43a0ee7e89013a3d913ce556715fd8acb674,12e8ba25ef52f19e7a42e61aecb3c1fef83b2a82,1283899168,637,HMG
2997,1339192386,8f53369b753f5f4c7684c2eb0b592152abb1dd00,9e612a008fa7fe493a473454def56aa321479495,1338466133,8,HMG
3009,1338234175,9d32d1653db10eaba3140dd1a2f8dad51122f0b5,64a8fc0145a1d0fdc25fc9367c2e6c621955fb3b,1316670360,249,HMG
3054,1333300578,6651819b4b4fc3caa6964c5d825eb4bb996f3905,c74696b9c890074c1e1ee3d7496fc71eb3680ced,1283453194,577,HMG
3060,1334945975,19244ad06b70ed84931df868583547ce1cd3a186,cf450136bfde77c7f95065c91bffded4aa7fa731,1312133029,264,HMG
3079,1333998638,6a562e3daee217ce99fe0e31150acd89a5b22606,c3dfefa0a6d235bd465309e12f4c56ea16e71111,1329255445,55,HMG
3151,1329328435,de67cba65944f26c0f147035bd62e30c5f456b96,e167976ee7f5fe4b80f7e8f55e087f6c67cf9562,1282692952,540,HMG
3239,1324069119,ed4a51842a9d9e618d4f4c31349b15b974dba5df,eb1711bb94991e93669c5a1b5f84f11be2d51ea1,1323169953,10,HMG
3244,1323648762,e1ad783b12ec8b69da83479c5d21a0d8180bc519,e8c7106280a305e1ff2a3a8a4dfce141469fb039,1321621751,24,HMG
3271,1321997899,82e5fc2a34fa9ffea38f00c4066b7e600a0ca5e6,4ba7d9997869d25bd223dea7536fc1ce9fab3b3b,1321438157,6,HMG
3272,1321997795,6cccccafe9e8b88adb1800940ded6ad76c587e1b,23085d5796561625db4143a671f1de081f66ef08,1321448322,6,HMG
3370,1312538189,39060a07781b4930656752943cf5d66376d0533c,4e20fa65a3ea789510eed1a15deb9e8aab2b8202,1312393944,2,HMG
3417,1308219694,c3a4924565e2eecf2539871abd123d35be6d76d5,23746a66d7d9e73402c68ef00d708796b97ebd72,1305820687,28,HMG
3455,1305452388,1c1be3a949a61427a962771c85a347c822aeb991,bea3864fb627d110933cfb8babe048b63c4fc76e,1300146346,62,HMG
3466,1305227983,982b2035d9d7033f63db187bac55e9d8998b0266,49183b2818de6899383bb82bc032f9344d6791ff,1303244054,23,HMG
3482,1304325449,ebb47241ea0eac6a5a23404821a2d62f64c68496,c6b358748e19ce7e230b0926ac42696bc485a562,1301306731,35,HMG
3505,1302650424,2582b6efceb43dce63b4a1090d289934067a972d,0a0883c8433c743dad0a4d9ebe2717558f2c209e,1301990243,7,HMG
3534,1299762132,ba3820ade317ee36e496b9b40d2ec3987dd4aef0,951f3512dba5bd44cda3e5ee22b4b522e4bb09fb,1297906909,21,HMG
3560,1298268719,bd6a60afeb4c9ada3ff27f1d13db1a2b5c11d8c0,a6f9761743bf35b052180f4a8bdae4d2cc0465f6,1296510530,21,HMG
3614,1295428182,6b35eb9ddcddde7b510726de03fae071178f1ec4,86b1e8dd83cbb0fcbf3d61d2b461df8be1f528cf,1295312269,1,HMG
3642,1293700035,bcfbbce822d219eb587acaba8a6e062bbeae4761,448f53a1ede54eb854d036abf54573281412d650,1292357180,16,HMG
3658,1292521116,6db45b76eaa08133187f2cb44d496de7e9503aa8,b126b4703afa4010b161784a43650337676dd03b,1288129299,51,HMG
3659,1292521111,d14125ecfee05473de46f06d992db109308c57a3,dc9887dc02e37bcf83f4e792aa14b07782ef54cf,1288129304,51,HMG
